stop_id,stop_name,stop_lat,stop_lon
node/247644576,Booysens,-26.2251833,28.0402486
node/247644606,Crown,-26.2224651,28.0138091
node/54974895,New Canada,-26.2145874,27.9426098
node/5207367928,Hercules,-25.724345,28.1674862
node/7048792053,Gezina,-25.7218064,28.2063408
node/8821278653,Deerness,-25.7204433,28.2165304
node/8821278657,Villeria,-25.7197846,28.2297925
node/8870208987,Koedoespoort,-25.7264418,28.2797635
node/247644838,Silverton,-25.7273444,28.296985
node/247644617,Eersterus,-25.7203339,28.3067013
node/8870240326,Waltloo,-25.716888,28.3222889
node/7040630019,Denneboom,-25.7195091,28.3380675
node/7048792047,Eerste Fabrieke,-25.7218744,28.3611649
node/7059609603,Pretoria,-25.7587557,28.1885876
node/5203421376,Barracks,-25.7557728,28.178443
node/5204363080,Pretoria-Wes,-25.7562046,28.16664
node/5206184545,Rebecca,-25.7588625,28.15227
node/7059609611,Elektro,-25.7619781,28.1444913
node/5216580642,Cor Delfos,-25.7668914,28.1322882
node/7059609617,Atteridgeville,-25.7634489,28.0737228
node/5217129824,Saulsville,-25.763695,28.0605787
node/247644761,Mears Street,-25.7624418,28.1979815
node/247644865,Walker Street,-25.7602061,28.2131955
node/247644719,Loftus Versfeldpark,-25.7547362,28.225464
node/247644674,Hartbeesspruit,-25.7465518,28.2411852
node/7048792045,Mamelodi Gardens,-25.7273523,28.385867
node/7048792043,Greenview,-25.7303737,28.407462
node/6725275490,Pienaarspoort,-25.7352696,28.4281692
node/8870289696,Panpoort,-25.734473,28.4431424
node/5207229588,Hercules,-25.7245854,28.1672361
node/247644596,Daspoort,-25.7150332,28.1657184
node/247703154,Mountain View,-25.7011426,28.1712416
node/247644850,Wonderboom,-25.6800118,28.1823122
node/247644801,Pretoria-Noord,-25.6715374,28.1819554
node/247644847,Wolmerton,-25.6567952,28.1662017
node/247644853,Winternest,-25.6467868,28.1286022
node/247644565,Akasiaboom,-25.6237659,28.1071299
