route_id,route_short_name,route_long_name,route_type
METROBUS_71B,71B,Westgate to Fairlands via Berario,3
METROBUS_83C,83C,Westgate to Randpark Ridge,3
METROBUS_85B,85B,Westgate to JHB North via Randburg centre,3
METROBUS_15F,15F,Westgate to Longmeadow via Sandringham,3
METROBUS_84,84,Westgate to Honeydew,3
METROBUS_84C,84C,Westgate to Honeydew via Randpark Ridge,3
METROBUS_82,82,Westgate to Ferndale Extention via Randburg,3
METROBUS_80,80,Westgate to Beeverly Gardens,3
METROBUS_85,85,Westgate to Johannesburg North,3
METROBUS_15B,15B,Westgate to Lombardy East via Sandringham,3
METROBUS_420,420,Westgate Node to Randburg centre,3
METROBUS_420A,420A,Westgate Node to Sunninghill via Cresta,3
METROBUS_430A,430A,Westgate Node to Sunninghill via Cresta,3
METROBUS_421J,421J,Yeoville to Noordhang via JHB North,3
METROBUS_421K,421K,Yeoville to Dainfern,3
METROBUS_421I,421I,Yeoville to Northlands Business Park,3
METROBUS_421N,421N,Yeoville to Northgate centre,3
