stop_id,stop_name,stop_lat,stop_lon
STOP_15A_VIA,Lombardy East,-26.195,28.034
STOP_15A_END,Lombardy East,-26.195,28.034
STOP_412_START,Gandhi square,-26.195,28.034
STOP_412_VIA,Witpoortjie,-26.195,28.034
STOP_412_END,Witpoortjie,-26.195,28.034
STOP_9_START,Gandhi square,-26.195,28.034
STOP_9_VIA,Linbro Park,-26.195,28.034
STOP_9_END,Linbro Park,-26.195,28.034
STOP_415_START,Gandhi square,-26.195,28.034
STOP_415_VIA,Weltervreden Park,-26.195,28.034
STOP_415_END,Weltervreden Park,-26.195,28.034
STOP_86A_START,Gandhi square,-26.195,28.034
STOP_86A_VIA,Kya Sands,-26.195,28.034
STOP_86A_END,Kya Sands,-26.195,28.034
STOP_6A_START,Gandhi square,-26.195,28.034
STOP_6A_VIA,Leewkop Prison,-26.195,28.034
STOP_6A_END,Leewkop Prison,-26.195,28.034
STOP_15D_START,Gandhi square,-26.195,28.034
STOP_15D_VIA,Lombardy West,-26.195,28.034
STOP_15D_END,Lombardy West,-26.195,28.034
STOP_413_START,Gandhi square,-26.195,28.034
STOP_413_VIA,Roodekrans,-26.195,28.034
STOP_413_END,Roodekrans,-26.195,28.034
STOP_88A_START,Gandhi square,-26.195,28.034
STOP_88A_VIA,Honeydew,-26.195,28.034
STOP_88A_END,Honeydew,-26.195,28.034
STOP_89B_START,Gandhi square,-26.195,28.034
STOP_89B_VIA,Northgate,-26.195,28.034
STOP_89B_END,Northgate,-26.195,28.034
STOP_80F_START,Gandhi square,-26.195,28.034
STOP_80F_VIA,Fourways Mall,-26.195,28.034
STOP_80F_END,Fourways Mall,-26.195,28.034
STOP_86D_START,Gandhi square,-26.195,28.034
STOP_86D_VIA,Northlands Business Park,-26.195,28.034
STOP_86D_END,Northlands Business Park,-26.195,28.034
STOP_12_START,Gandhi square,-26.195,28.034
STOP_12_VIA,Lone Hill,-26.195,28.034
STOP_12_END,Lone Hill,-26.195,28.034
STOP_7A_START,Gandhi square,-26.195,28.034
STOP_7A_VIA,"UTI, Midrand Extention",-26.195,28.034
STOP_7A_END,"UTI, Midrand Extention",-26.195,28.034
STOP_89A_START,Gandhi square,-26.195,28.034
STOP_89A_VIA,Kya Sands,-26.195,28.034
STOP_89A_END,Kya Sands,-26.195,28.034
STOP_80D_START,Gandhi square,-26.195,28.034
STOP_80D_VIA,Dainfern,-26.195,28.034
STOP_80D_END,Dainfern,-26.195,28.034
STOP_7C_START,Gandhi square,-26.195,28.034
STOP_7C_VIA,Airforce Base,-26.195,28.034
STOP_7C_END,Airforce Base,-26.195,28.034
STOP_7B_START,Gandhi square,-26.195,28.034
STOP_7B_VIA,N1 Military Hospital,-26.195,28.034
STOP_7B_END,N1 Military Hospital,-26.195,28.034
STOP_89C_START,Gandhi square,-26.195,28.034
STOP_89C_VIA,Noordgang,-26.195,28.034
STOP_89C_END,Noordgang,-26.195,28.034
STOP_7D_START,Gandhi square,-26.195,28.034
STOP_7D_VIA,Arcadia,-26.195,28.034
STOP_7D_END,Arcadia,-26.195,28.034
STOP_265A_START,Hillbrow,-26.195,28.034
STOP_265A_VIA,Elandsfontein,-26.195,28.034
STOP_265A_END,Elandsfontein,-26.195,28.034
STOP_265_START,Hillbrow,-26.195,28.034
STOP_265_VIA,Isando,-26.195,28.034
STOP_265_END,Isando,-26.195,28.034
STOP_262_START,Hillbrow,-26.195,28.034
STOP_262_VIA,OR tambo,-26.195,28.034
STOP_262_END,OR tambo,-26.195,28.034
STOP_49J_START,JHB Hospital,-26.195,28.034
STOP_49J_VIA,Mulbarton,-26.195,28.034
STOP_49J_END,Mulbarton,-26.195,28.034
STOP_227_START,Judiths Paarl,-26.195,28.034
STOP_227_VIA,Crosby,-26.195,28.034
STOP_227_END,Crosby,-26.195,28.034
STOP_556E_START,Mayfield Park,-26.195,28.034
STOP_556E_VIA,Megawatt Park,-26.195,28.034
STOP_556E_END,Megawatt Park,-26.195,28.034
STOP_522_START,Naturena,-26.195,28.034
STOP_522_VIA,Randburg Mall,-26.195,28.034
STOP_522_END,Randburg mall,-26.195,28.034
STOP_520_START,Naturena,-26.195,28.034
STOP_520_VIA,Randburg Mall,-26.195,28.034
STOP_520_END,Randburg Mall,-26.195,28.034
STOP_520A_START,Naturena,-26.195,28.034
STOP_520A_VIA,Fourways Mall,-26.195,28.034
STOP_520A_END,Fourways Mall,-26.195,28.034
STOP_523_START,Naturena,-26.195,28.034
STOP_523_VIA,Fourways Mall,-26.195,28.034
STOP_523_END,fourways Mall,-26.195,28.034
STOP_521A_START,Naturena,-26.195,28.034
STOP_521A_VIA,Barlowworld,-26.195,28.034
STOP_521A_END,Barlowworld,-26.195,28.034
STOP_260A_START,Ormondeview,-26.195,28.034
STOP_260A_VIA,Eastgate,-26.195,28.034
STOP_260A_END,Eastgate,-26.195,28.034
STOP_260_START,Paarlhoop,-26.195,28.034
STOP_260_VIA,Eastgate,-26.195,28.034
STOP_260_END,Eastgate,-26.195,28.034
STOP_551C_START,Protea Gardens,-26.195,28.034
STOP_551C_VIA,Sunninghill,-26.195,28.034
STOP_551C_END,Sunninghill,-26.195,28.034
STOP_551B_START,Protea Gardens,-26.195,28.034
STOP_551B_VIA,Sunninghill,-26.195,28.034
STOP_551B_END,Sunninghill,-26.195,28.034
STOP_552_START,Protea Glen,-26.195,28.034
STOP_552_VIA,Fourways Mall,-26.195,28.034
STOP_552_END,Fourways Mall,-26.195,28.034
STOP_553_START,Protea Glen,-26.195,28.034
STOP_553_VIA,Kya Sands,-26.195,28.034
STOP_553_END,Kya Sands,-26.195,28.034
STOP_551A_START,Protea Glen,-26.195,28.034
STOP_551A_VIA,Sunninghill,-26.195,28.034
STOP_551A_END,Sunninghill,-26.195,28.034
STOP_551D_START,Protea North,-26.195,28.034
STOP_551D_VIA,Sunninghill,-26.195,28.034
STOP_551D_END,Sunninghill,-26.195,28.034
STOP_46_START,Rosettenville,-26.195,28.034
STOP_46_VIA,JHB Hospital,-26.195,28.034
STOP_46_END,JHB Hospital,-26.195,28.034
STOP_546D_START,Rosettenville,-26.195,28.034
STOP_546D_VIA,Sunninghill,-26.195,28.034
STOP_546D_END,Sunninghill,-26.195,28.034
STOP_55_START,Sanlam centre,-26.195,28.034
STOP_55_VIA,Meredale,-26.195,28.034
STOP_55_END,Meredale,-26.195,28.034
STOP_52C_START,Sanlam centre,-26.195,28.034
